Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2309
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0008668979280628264
power__switching__total,0.00022287893807515502
power__leakage__total,7.916023605503142E-7
power__total,0.0010905684903264046
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2594048382854648
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26073816066459726
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1352071826102654
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.679870179397613
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.135207
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.868160
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2624918967594698
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2624918967594698
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6839888293796995
timing__setup__ws__corner:nom_slow_1p08V_125C,13.163538187620814
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.683989
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,15.172888
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26037575610353453
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26037575610353453
timing__hold__ws__corner:nom_typ_1p20V_25C,0.33838705018063886
timing__setup__ws__corner:nom_typ_1p20V_25C,14.127805991629584
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.338387
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.868366
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2594048382854648
clock__skew__worst_setup,0.26037575610353453
timing__hold__ws,0.1352071826102654
timing__setup__ws,13.163538187620814
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.135207
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.172888
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1142
design__instance__area__stdcell,19544.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.675318
design__instance__utilization__stdcell,0.675318
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,11
design__instance__area__class:buffer,79.8336
design__instance__count__class:inverter,35
design__instance__area__class:inverter,190.512
design__instance__count__class:sequential_cell,169
design__instance__area__class:sequential_cell,8279.11
design__instance__count__class:multi_input_combinational_cell,557
design__instance__area__class:multi_input_combinational_cell,5475.86
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2531.38
design__instance__displacement__mean,2.216
design__instance__displacement__max,20.109
route__wirelength__estimated,27870.1
design__violations,0
design__instance__count__class:timing_repair_buffer,312
design__instance__area__class:timing_repair_buffer,4314.64
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1155.77
design__instance__count__class:clock_inverter,9
design__instance__area__class:clock_inverter,48.9888
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,226
global_route__vias,7575
global_route__wirelength,48686
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1152
route__net__special,2
route__drc_errors__iter:0,282
route__wirelength__iter:0,30554
route__drc_errors__iter:1,104
route__wirelength__iter:1,30270
route__drc_errors__iter:2,112
route__wirelength__iter:2,30301
route__drc_errors__iter:3,13
route__wirelength__iter:3,30247
route__drc_errors__iter:4,0
route__wirelength__iter:4,30247
route__drc_errors,0
route__wirelength,30247
route__vias,7089
route__vias__singlecut,7089
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,422.29
design__instance__count__class:fill_cell,1167
design__instance__area__class:fill_cell,9396.78
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,14
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,14
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,14
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,14
timing__unannotated_net_filtered__count,0
