Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,12198
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,2
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001169248134829104
power__switching__total,0.00040978731703944504
power__leakage__total,0.0000028354163532640086
power__total,0.0015818708343431354
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.44196345056881725
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.39469992280619093
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.09002926436953375
timing__setup__ws__corner:nom_fast_1p32V_m40C,2.9721763669260555
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.090029
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,4.458071
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,8
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,2
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.5927207781242537
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.5081268882812515
timing__hold__ws__corner:nom_slow_1p08V_125C,0.5620243318705405
timing__setup__ws__corner:nom_slow_1p08V_125C,-3.23756586259502
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-165.23599312061387
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-3.23756586259502
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.562024
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,106
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-3.237566
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,104
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,2
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.5124657510065005
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.44357060946471816
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2567086615939095
timing__setup__ws__corner:nom_typ_1p20V_25C,1.5714079371400587
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.256709
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,1.630501
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,8
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.44196345056881725
clock__skew__worst_setup,0.39469992280619093
timing__hold__ws,0.09002926436953375
timing__setup__ws,-3.23756586259502
timing__hold__tns,0.0
timing__setup__tns,-165.23599312061387
timing__hold__wns,0
timing__setup__wns,-3.23756586259502
timing__hold_vio__count,0
timing__hold_r2r__ws,0.090029
timing__hold_r2r_vio__count,0
timing__setup_vio__count,106
timing__setup_r2r__ws,-3.237566
timing__setup_r2r_vio__count,104
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,7174
design__instance__area__stdcell,94960.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.749577
design__instance__utilization__stdcell,0.749577
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,15
design__instance__area__class:buffer,108.864
design__instance__count__class:inverter,210
design__instance__area__class:inverter,1150.33
design__instance__count__class:sequential_cell,510
design__instance__area__class:sequential_cell,24993.4
design__instance__count__class:multi_input_combinational_cell,4645
design__instance__area__class:multi_input_combinational_cell,46250.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,15158.1
design__instance__displacement__mean,2.112
design__instance__displacement__max,75
route__wirelength__estimated,267037
design__violations,0
design__instance__count__class:timing_repair_buffer,1531
design__instance__area__class:timing_repair_buffer,17528.9
design__instance__count__class:clock_buffer,195
design__instance__area__class:clock_buffer,4545.07
design__instance__count__class:clock_inverter,68
design__instance__area__class:clock_inverter,382.838
flow__warnings__count:CTS-0041,289
design__instance__count__setup_buffer,144
design__instance__count__hold_buffer,598
flow__warnings__count:RSZ-0062,1
global_route__vias,57678
global_route__wirelength,503402
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,4
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,7161
route__net__special,2
route__drc_errors__iter:0,6353
route__wirelength__iter:0,344084
route__drc_errors__iter:1,2821
route__wirelength__iter:1,337916
route__drc_errors__iter:2,2935
route__wirelength__iter:2,335691
route__drc_errors__iter:3,287
route__wirelength__iter:3,335283
route__drc_errors__iter:4,60
route__wirelength__iter:4,335240
route__drc_errors__iter:5,13
route__wirelength__iter:5,335253
route__drc_errors__iter:6,12
route__wirelength__iter:6,335252
route__drc_errors__iter:7,12
route__wirelength__iter:7,335252
route__drc_errors__iter:8,0
route__wirelength__iter:8,335240
route__drc_errors,0
route__wirelength,335240
route__vias,57063
route__vias__singlecut,57063
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1071.28
design__instance__count__class:fill_cell,5024
