Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,2285
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0012687824200838804
power__switching__total,0.00041148552554659545
power__leakage__total,8.249883762800891E-7
power__total,0.0016810930101200938
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2627598768496177
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26335145920502034
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1087258647222072
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.415277379793652
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.108726
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.924341
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2656732964376606
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.26558003770095456
timing__hold__ws__corner:nom_slow_1p08V_125C,0.611154366634955
timing__setup__ws__corner:nom_slow_1p08V_125C,12.534036385784304
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.611154
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,15.446528
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2634657844242145
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26344202565081554
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2876253205907852
timing__setup__ws__corner:nom_typ_1p20V_25C,13.745218685631349
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.287625
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.028610
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2627598768496177
clock__skew__worst_setup,0.26335145920502034
timing__hold__ws,0.1087258647222072
timing__setup__ws,12.534036385784304
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108726
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.446528
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1090
design__instance__area__stdcell,19080.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.659269
design__instance__utilization__stdcell,0.659269
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:inverter,15
design__instance__area__class:inverter,81.648
design__instance__count__class:sequential_cell,142
design__instance__area__class:sequential_cell,6956.41
design__instance__count__class:multi_input_combinational_cell,573
design__instance__area__class:multi_input_combinational_cell,6395.76
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2893.8
design__instance__displacement__mean,2.654
design__instance__displacement__max,17.16
route__wirelength__estimated,21238.6
design__violations,0
design__instance__count__class:timing_repair_buffer,297
design__instance__area__class:timing_repair_buffer,4414.44
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1155.77
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,76.2048
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,249
global_route__vias,6702
global_route__wirelength,37922
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1095
route__net__special,2
route__drc_errors__iter:0,207
route__wirelength__iter:0,22224
route__drc_errors__iter:1,47
route__wirelength__iter:1,22177
route__drc_errors__iter:2,31
route__wirelength__iter:2,22102
route__drc_errors__iter:3,0
route__wirelength__iter:3,22106
route__drc_errors,0
route__wirelength,22106
route__vias,5950
route__vias__singlecut,5950
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,372.17
design__instance__count__class:fill_cell,1195
design__instance__area__class:fill_cell,9861.26
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,30
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,30
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,30
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,30
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19951
