Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,2531
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0006769527681171894
power__switching__total,0.00019925981177948415
power__leakage__total,9.171498049909133E-7
power__total,0.0008771297871135175
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2537571891106214
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2558462680795661
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11645468252672113
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.550049465988261
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.116455
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.345774
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.25798433564085793
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2573233643444538
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6336530923764424
timing__setup__ws__corner:nom_slow_1p08V_125C,5.269049345973149
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.633653
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,16.332415
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25460642648175086
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25583358378115106
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3096779031972093
timing__setup__ws__corner:nom_typ_1p20V_25C,5.44682625530978
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.309678
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.588810
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2537571891106214
clock__skew__worst_setup,0.25583358378115106
timing__hold__ws,0.11645468252672113
timing__setup__ws,5.269049345973149
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116455
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.332415
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1112
design__instance__area__stdcell,16665.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.575826
design__instance__utilization__stdcell,0.575826
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,3
design__instance__area__class:buffer,21.7728
design__instance__count__class:inverter,59
design__instance__area__class:inverter,321.149
design__instance__count__class:sequential_cell,122
design__instance__area__class:sequential_cell,5976.63
design__instance__count__class:multi_input_combinational_cell,617
design__instance__area__class:multi_input_combinational_cell,5408.73
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:STA-0122,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2028.85
design__instance__displacement__mean,1.824
design__instance__displacement__max,19.56
route__wirelength__estimated,19186.1
design__violations,0
design__instance__count__class:timing_repair_buffer,253
design__instance__area__class:timing_repair_buffer,3677.79
design__instance__count__class:clock_buffer,52
design__instance__area__class:clock_buffer,1226.53
design__instance__count__class:clock_inverter,6
design__instance__area__class:clock_inverter,32.6592
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,203
global_route__vias,6155
global_route__wirelength,33343
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1125
route__net__special,2
route__drc_errors__iter:0,237
route__wirelength__iter:0,20185
route__drc_errors__iter:1,32
route__wirelength__iter:1,19924
route__drc_errors__iter:2,52
route__wirelength__iter:2,19876
route__drc_errors__iter:3,0
route__wirelength__iter:3,19877
route__drc_errors,0
route__wirelength,19877
route__vias,5711
route__vias__singlecut,5711
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,342.545
design__instance__count__class:fill_cell,1419
design__instance__area__class:fill_cell,12276.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,18
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,18
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,18
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,18
timing__unannotated_net_filtered__count,0
