Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2788
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0013545238180086017
power__switching__total,0.0009361511329188943
power__leakage__total,0.0000011873681842189399
power__total,0.0022918623872101307
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2557824857649975
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2562645168603469
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.10921755475814401
timing__setup__ws__corner:nom_fast_1p32V_m40C,2.7448224470226537
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.109218
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,2.744823
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.25541500193345346
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2563315465773544
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6122925118008384
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.07892398069588559
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-0.19773960806239543
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.07892398069588559
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.612293
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,6
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-0.078924
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,6
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25507463530005275
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25573693886412413
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29341335747106284
timing__setup__ws__corner:nom_typ_1p20V_25C,1.7035386916620805
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.293413
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,1.703539
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25507463530005275
clock__skew__worst_setup,0.25573693886412413
timing__hold__ws,0.10921755475814401
timing__setup__ws,-0.07892398069588559
timing__hold__tns,0.0
timing__setup__tns,-0.19773960806239543
timing__hold__wns,0
timing__setup__wns,-0.07892398069588559
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109218
timing__hold_r2r_vio__count,0
timing__setup_vio__count,6
timing__setup_r2r__ws,-0.078924
timing__setup_r2r_vio__count,6
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,899
design__instance__area__stdcell,10730.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.37076
design__instance__utilization__stdcell,0.37076
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,11
design__instance__area__class:buffer,119.75
design__instance__count__class:inverter,92
design__instance__area__class:inverter,551.578
design__instance__count__class:sequential_cell,55
design__instance__area__class:sequential_cell,2696.2
design__instance__count__class:multi_input_combinational_cell,630
design__instance__area__class:multi_input_combinational_cell,5880.47
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,28.2
design__instance__displacement__mean,0.031
design__instance__displacement__max,3.84
route__wirelength__estimated,16339
design__violations,0
design__instance__count__class:timing_repair_buffer,101
design__instance__area__class:timing_repair_buffer,1264.64
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,212.285
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,5.4432
design__instance__count__setup_buffer,5
design__instance__count__hold_buffer,0
global_route__vias,4744
global_route__wirelength,26755
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,917
route__net__special,2
route__drc_errors__iter:0,148
route__wirelength__iter:0,17467
route__drc_errors__iter:1,49
route__wirelength__iter:1,17380
route__drc_errors__iter:2,44
route__wirelength__iter:2,17346
route__drc_errors__iter:3,0
route__wirelength__iter:3,17370
route__drc_errors,0
route__wirelength,17370
route__vias,4675
route__vias__singlecut,4675
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,218.16
design__instance__count__class:fill_cell,1889
design__instance__area__class:fill_cell,18211.1
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,8
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,8
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,8
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,8
timing__unannotated_net_filtered__count,0
