Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,6567
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0005306459497660398
power__switching__total,0.0001798278244677931
power__leakage__total,9.381091672366892E-7
power__total,0.0007114118780009449
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2627530489778232
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2627530489778232
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.28244157811990167
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.561268158947081
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.282442
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2609430245740102
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2609430245740102
timing__hold__ws__corner:nom_slow_1p08V_125C,1.016763924056746
timing__setup__ws__corner:nom_slow_1p08V_125C,12.805617373392106
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,1.016764
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26073957619899374
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26073957619899374
timing__hold__ws__corner:nom_typ_1p20V_25C,0.5439004400813172
timing__setup__ws__corner:nom_typ_1p20V_25C,13.91957521977698
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.543900
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26073957619899374
clock__skew__worst_setup,0.26073957619899374
timing__hold__ws,0.28244157811990167
timing__setup__ws,12.805617373392106
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.282442
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,4405
design__instance__area__stdcell,51073.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.849679
design__instance__utilization__stdcell,0.849679
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,1314
design__instance__area__class:buffer,9536.49
design__instance__count__class:inverter,424
design__instance__area__class:inverter,2307.92
design__instance__count__class:sequential_cell,384
design__instance__area__class:sequential_cell,12425
design__instance__count__class:multi_input_combinational_cell,1958
design__instance__area__class:multi_input_combinational_cell,23237
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2061.78
design__instance__displacement__mean,0.468
design__instance__displacement__max,100.32
route__wirelength__estimated,72474
design__violations,0
design__instance__count__class:timing_repair_buffer,286
design__instance__area__class:timing_repair_buffer,2647.21
design__instance__count__class:clock_buffer,39
design__instance__area__class:clock_buffer,919.901
flow__warnings__count:CTS-0041,64
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,63
global_route__vias,18435
global_route__wirelength,125481
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,4424
route__net__special,2
route__drc_errors__iter:0,1038
route__wirelength__iter:0,84231
route__drc_errors__iter:1,454
route__wirelength__iter:1,83697
route__drc_errors__iter:2,421
route__wirelength__iter:2,83414
route__drc_errors__iter:3,1
route__wirelength__iter:3,83300
route__drc_errors__iter:4,0
route__wirelength__iter:4,83298
route__drc_errors,0
route__wirelength,83298
route__vias,19709
route__vias__singlecut,19709
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,619.195
design__instance__count__class:fill_cell,2162
design__instance__area__class:fill_cell,9035.71
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,1407
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,1407
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,1407
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,1407
timing__unannotated_net_filtered__count,0
