Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,4915
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,27
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0011674301931634545
power__switching__total,0.0001797519944375381
power__leakage__total,0.000001239211769643589
power__total,0.0013484214432537556
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2666300034006132
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2650879590869481
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11246809357714868
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.993143151383688
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.112468
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.792419
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,27
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2855090966681207
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.28400352318184596
timing__hold__ws__corner:nom_slow_1p08V_125C,0.621233138071003
timing__setup__ws__corner:nom_slow_1p08V_125C,12.722292912591362
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.621233
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.722293
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,27
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2744339000392908
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27289374310482095
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29507264133944416
timing__setup__ws__corner:nom_typ_1p20V_25C,14.57471340424476
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.295073
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,15.290049
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,27
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2666300034006132
clock__skew__worst_setup,0.2650879590869481
timing__hold__ws,0.11246809357714868
timing__setup__ws,12.722292912591362
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112468
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.722293
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2896
design__instance__area__stdcell,47497.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.790184
design__instance__utilization__stdcell,0.790184
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,112
design__instance__area__class:inverter,609.638
design__instance__count__class:sequential_cell,381
design__instance__area__class:sequential_cell,18664.7
design__instance__count__class:multi_input_combinational_cell,1633
design__instance__area__class:multi_input_combinational_cell,17193.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,6447.41
design__instance__displacement__mean,2.226
design__instance__displacement__max,55.32
route__wirelength__estimated,65055.6
design__violations,0
design__instance__count__class:timing_repair_buffer,714
design__instance__area__class:timing_repair_buffer,10017.3
design__instance__count__class:clock_buffer,37
design__instance__area__class:clock_buffer,872.726
design__instance__count__class:clock_inverter,15
design__instance__area__class:clock_inverter,110.678
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,533
global_route__vias,18191
global_route__wirelength,115056
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2895
route__net__special,2
route__drc_errors__iter:0,815
route__wirelength__iter:0,71888
route__drc_errors__iter:1,306
route__wirelength__iter:1,71473
route__drc_errors__iter:2,275
route__wirelength__iter:2,71363
route__drc_errors__iter:3,22
route__wirelength__iter:3,71279
route__drc_errors__iter:4,0
route__wirelength__iter:4,71275
route__drc_errors,0
route__wirelength,71275
route__vias,17491
route__vias__singlecut,17491
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,361.545
design__instance__count__class:fill_cell,2019
design__instance__area__class:fill_cell,12611.9
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,36
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,36
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,36
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,36
