Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,56582
design__instance__area,596662
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,191
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0026808413676917553
power__switching__total,0.0004674824886023998
power__leakage__total,0.000018718683350016363
power__total,0.0031670425087213516
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2876557962136731
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2846899740973859
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11827400504862833
timing__setup__ws__corner:nom_fast_1p32V_m40C,15.283593490051679
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.118274
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,26.182714
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,2
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,191
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3268988228193915
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.319418694979427
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6366571894325861
timing__setup__ws__corner:nom_slow_1p08V_125C,13.944081839426442
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.636657
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,24.580040
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,191
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.303770656116291
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.29851746919325306
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3062629680991838
timing__setup__ws__corner:nom_typ_1p20V_25C,14.789592191756839
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.306263
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,25.583374
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,2
design__max_fanout_violation__count,191
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2876557962136731
clock__skew__worst_setup,0.2846899740973859
timing__hold__ws,0.11827400504862833
timing__setup__ws,13.944081839426442
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118274
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,24.580040
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 854.4 710.64
design__core__bbox,2.88 3.78 851.52 706.86
design__io,45
design__die__area,607171
design__core__area,596662
design__instance__count__stdcell,23167
design__instance__area__stdcell,326004
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.54638
design__instance__utilization__stdcell,0.54638
design__rows,186
design__rows:CoreSite,186
design__sites,328848
design__sites:CoreSite,328848
design__instance__count__class:buffer,50
design__instance__area__class:buffer,362.88
design__instance__count__class:inverter,752
design__instance__area__class:inverter,4093.29
design__instance__count__class:sequential_cell,2440
design__instance__area__class:sequential_cell,119533
design__instance__count__class:multi_input_combinational_cell,14532
design__instance__area__class:multi_input_combinational_cell,133103
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,15163.7
design__instance__displacement__mean,0.655
design__instance__displacement__max,11.82
route__wirelength__estimated,789190
design__violations,0
design__instance__count__class:timing_repair_buffer,4996
design__instance__area__class:timing_repair_buffer,61950.9
design__instance__count__class:clock_buffer,256
design__instance__area__class:clock_buffer,6038.32
design__instance__count__class:clock_inverter,122
design__instance__area__class:clock_inverter,820.109
flow__warnings__count:CTS-0041,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2832
global_route__vias,52
global_route__wirelength,1266508
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,19
design__instance__area__class:antenna_cell,103.421
route__net,23027
route__net__special,2
route__drc_errors__iter:0,150
route__wirelength__iter:0,928233
route__drc_errors__iter:1,11
route__wirelength__iter:1,928219
route__drc_errors__iter:2,11
route__wirelength__iter:2,928212
route__drc_errors__iter:3,2
route__wirelength__iter:3,928221
route__drc_errors__iter:4,2
route__wirelength__iter:4,928220
route__drc_errors__iter:5,0
route__wirelength__iter:5,928209
route__drc_errors__iter:6,3
route__wirelength__iter:6,928161
route__drc_errors__iter:7,0
route__wirelength__iter:7,928155
route__drc_errors,0
route__wirelength,928209
route__vias,150434
route__vias__singlecut,150434
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1189.76
design__instance__count__class:fill_cell,33415
design__instance__area__class:fill_cell,270658
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,190
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
