Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,26
design__inferred_latch__count,0
design__instance__count,3049
design__instance__area,28615.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00014681913307867944
power__switching__total,0.000032994317734846845
power__leakage__total,6.673888606201217E-7
power__total,0.00018048084166366607
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26729938463666675
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.34903872446917183
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1408426193314925
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.43824300984135
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.140843
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,23.771275
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26441613536017133
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.4684625042701954
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6588626497538247
timing__setup__ws__corner:nom_slow_1p08V_125C,2.704414546630978
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.658863
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,22.374695
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26482103370870347
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.39354570716157156
timing__hold__ws__corner:nom_typ_1p20V_25C,0.32703407574319165
timing__setup__ws__corner:nom_typ_1p20V_25C,12.683447540128736
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.327034
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,23.268866
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26441613536017133
clock__skew__worst_setup,0.34903872446917183
timing__hold__ws,0.1408426193314925
timing__setup__ws,2.704414546630978
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.140843
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,22.374695
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1799
design__instance__area__stdcell,20455.5
design__instance__count__macros,1
design__instance__area__macros,512
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.72448
design__instance__utilization__stdcell,0.719518
design__rows,50
design__rows:CoreSite,50
design__sites,15489
design__sites:CoreSite,15489
design__instance__count__class:macro,1
design__instance__area__class:macro,512
design__instance__count__class:buffer,16
design__instance__area__class:buffer,116.122
design__instance__count__class:inverter,775
design__instance__area__class:inverter,4227.55
design__instance__count__class:sequential_cell,94
design__instance__area__class:sequential_cell,4646.68
design__instance__count__class:multi_input_combinational_cell,609
design__instance__area__class:multi_input_combinational_cell,6127.23
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,261
design__instance__area__class:timing_repair_buffer,4708.37
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,21521.5
design__violations,0
design__instance__count__class:clock_buffer,26
design__instance__area__class:clock_buffer,531.619
design__instance__count__class:clock_inverter,18
design__instance__area__class:clock_inverter,97.9776
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,119
global_route__vias,8515
global_route__wirelength,39085
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1803
route__net__special,2
route__drc_errors__iter:0,206
route__wirelength__iter:0,23143
route__drc_errors__iter:1,46
route__wirelength__iter:1,23013
route__drc_errors__iter:2,37
route__wirelength__iter:2,23025
route__drc_errors__iter:3,1
route__wirelength__iter:3,23019
route__drc_errors__iter:4,0
route__wirelength__iter:4,23018
route__drc_errors,0
route__wirelength,23018
route__vias,8244
route__vias__singlecut,8244
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,332.85
design__instance__count__class:fill_cell,1249
design__instance__area__class:fill_cell,7647.7
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,24
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,24
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,24
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,24
timing__unannotated_net_filtered__count,0
