Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,25
design__inferred_latch__count,0
design__instance__count,2326
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0003444393805693835
power__switching__total,0.00005182384848012589
power__leakage__total,7.716463983342692E-7
power__total,0.00039703489164821804
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25440819615509774
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2546706806411183
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12096854416117597
timing__setup__ws__corner:nom_fast_1p32V_m40C,15.383932785319832
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.120969
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.293457
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.25559308171163975
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2587248266636498
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6418951107886036
timing__setup__ws__corner:nom_slow_1p08V_125C,14.876293507004785
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.641895
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,16.268021
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2544334259740459
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25622860114448454
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3078745678873088
timing__setup__ws__corner:nom_typ_1p20V_25C,15.19446300675715
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.307875
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.564911
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25440819615509774
clock__skew__worst_setup,0.2546706806411183
timing__hold__ws,0.12096854416117597
timing__setup__ws,14.876293507004785
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.120969
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.268021
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1057
design__instance__area__stdcell,18926
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.65394
design__instance__utilization__stdcell,0.65394
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,8
design__instance__area__class:buffer,58.0608
design__instance__count__class:inverter,7
design__instance__area__class:inverter,38.1024
design__instance__count__class:sequential_cell,177
design__instance__area__class:sequential_cell,8671.02
design__instance__count__class:multi_input_combinational_cell,663
design__instance__area__class:multi_input_combinational_cell,6978.18
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,1531.31
design__instance__displacement__mean,1.448
design__instance__displacement__max,16.2
route__wirelength__estimated,18864.1
design__violations,0
design__instance__count__class:timing_repair_buffer,182
design__instance__area__class:timing_repair_buffer,2763.33
design__instance__count__class:clock_buffer,17
design__instance__area__class:clock_buffer,400.982
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,16.3296
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,159
global_route__vias,5800
global_route__wirelength,34142
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1073
route__net__special,2
route__drc_errors__iter:0,131
route__wirelength__iter:0,20872
route__drc_errors__iter:1,21
route__wirelength__iter:1,20828
route__drc_errors__iter:2,27
route__wirelength__iter:2,20818
route__drc_errors__iter:3,3
route__wirelength__iter:3,20820
route__drc_errors__iter:4,3
route__wirelength__iter:4,20820
route__drc_errors__iter:5,0
route__wirelength__iter:5,20821
route__drc_errors,0
route__wirelength,20821
route__vias,5218
route__vias__singlecut,5218
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,420.01
design__instance__count__class:fill_cell,1269
design__instance__area__class:fill_cell,10015.5
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
