Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3136
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00021917316189501435
power__switching__total,0.00012203522783238441
power__leakage__total,9.347401714876469E-7
power__total,0.00034214311745017767
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25885797016364354
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25885797016364354
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12274689945231586
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.151167416196756
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.122747
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2675157671102859
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2675157671102859
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6557558570649988
timing__setup__ws__corner:nom_slow_1p08V_125C,9.802372524466263
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.655756
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.502042
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26224670399754685
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26224670399754685
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3241276228048253
timing__setup__ws__corner:nom_typ_1p20V_25C,10.835716630663983
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.324128
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25885797016364354
clock__skew__worst_setup,0.25885797016364354
timing__hold__ws,0.12274689945231586
timing__setup__ws,9.802372524466263
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.122747
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.502042
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1375
design__instance__area__stdcell,14798.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.511316
design__instance__utilization__stdcell,0.511316
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,8
design__instance__area__class:buffer,58.0608
design__instance__count__class:inverter,60
design__instance__area__class:inverter,326.592
design__instance__count__class:sequential_cell,54
design__instance__area__class:sequential_cell,2645.4
design__instance__count__class:multi_input_combinational_cell,1034
design__instance__area__class:multi_input_combinational_cell,9563.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:STA-0122,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,339.919
design__instance__displacement__mean,0.247
design__instance__displacement__max,9.12
route__wirelength__estimated,44079.5
design__violations,0
design__instance__count__class:timing_repair_buffer,208
design__instance__area__class:timing_repair_buffer,1981.32
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,212.285
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,10.8864
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,52
global_route__vias,9746
global_route__wirelength,75232
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1392
route__net__special,2
route__drc_errors__iter:0,863
route__wirelength__iter:0,53135
route__drc_errors__iter:1,624
route__wirelength__iter:1,52886
route__drc_errors__iter:2,589
route__wirelength__iter:2,52693
route__drc_errors__iter:3,88
route__wirelength__iter:3,52482
route__drc_errors__iter:4,7
route__wirelength__iter:4,52483
route__drc_errors__iter:5,7
route__wirelength__iter:5,52483
route__drc_errors__iter:6,4
route__wirelength__iter:6,52478
route__drc_errors__iter:7,4
route__wirelength__iter:7,52478
route__drc_errors__iter:8,2
route__wirelength__iter:8,52477
route__drc_errors__iter:9,2
route__wirelength__iter:9,52477
route__drc_errors__iter:10,1
route__wirelength__iter:10,52479
route__drc_errors__iter:11,1
route__wirelength__iter:11,52479
route__drc_errors__iter:12,1
route__wirelength__iter:12,52477
route__drc_errors__iter:15,1
route__wirelength__iter:15,52477
route__drc_errors__iter:16,1
route__wirelength__iter:16,52477
route__drc_errors__iter:17,0
route__wirelength__iter:17,52403
route__drc_errors,0
route__wirelength,52403
route__vias,10348
route__vias__singlecut,10348
