Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,10736
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,27
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.003367694327607751
power__switching__total,0.002198703121393919
power__leakage__total,0.000005189527200855082
power__total,0.005571587011218071
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.27105246592198085
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.27176472952357333
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.138636051007644
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.166179630315707
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.138636
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.517160
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,27
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2730360737006033
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.27575068009488857
timing__hold__ws__corner:nom_slow_1p08V_125C,0.7057177264541397
timing__setup__ws__corner:nom_slow_1p08V_125C,9.313493351262695
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.705718
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,14.294303
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,27
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2712453116668123
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27316188972842725
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3415364199236633
timing__setup__ws__corner:nom_typ_1p20V_25C,11.734643811022716
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.341536
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.366926
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,27
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27105246592198085
clock__skew__worst_setup,0.27176472952357333
timing__hold__ws,0.138636051007644
timing__setup__ws,9.313493351262695
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.138636
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.294303
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,3317
design__instance__area__stdcell,50454.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.39827
design__instance__utilization__stdcell,0.39827
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,10
design__instance__area__class:buffer,72.576
design__instance__count__class:inverter,105
design__instance__area__class:inverter,571.536
design__instance__count__class:sequential_cell,372
design__instance__area__class:sequential_cell,18223.8
design__instance__count__class:multi_input_combinational_cell,1924
design__instance__area__class:multi_input_combinational_cell,19366.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,4959.59
design__instance__displacement__mean,1.495
design__instance__displacement__max,11.4
route__wirelength__estimated,101057
design__violations,0
design__instance__count__class:timing_repair_buffer,851
design__instance__area__class:timing_repair_buffer,11229.3
design__instance__count__class:clock_buffer,35
design__instance__area__class:clock_buffer,825.552
design__instance__count__class:clock_inverter,20
design__instance__area__class:clock_inverter,165.11
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,557
global_route__vias,22222
global_route__wirelength,168465
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3313
route__net__special,2
route__drc_errors__iter:0,1069
route__wirelength__iter:0,114920
route__drc_errors__iter:1,435
route__wirelength__iter:1,114379
route__drc_errors__iter:2,363
route__wirelength__iter:2,114108
route__drc_errors__iter:3,22
route__wirelength__iter:3,114011
route__drc_errors__iter:4,0
route__wirelength__iter:4,114003
route__drc_errors,0
route__wirelength,114003
route__vias,21396
route__vias__singlecut,21396
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,562.715
design__instance__count__class:fill_cell,7419
design__instance__area__class:fill_cell,76230.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,27
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,27
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,27
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,27
timing__unannotated_net_filtered__count,0
