Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,9994
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,37
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.002108657732605934
power__switching__total,0.0005835680640302598
power__leakage__total,0.0000048060874178190716
power__total,0.002697031944990158
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2631146486271703
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26934880088693497
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11300727340430693
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.452127792446908
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.113007
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,9.128609
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,37
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.28153066785801
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.28442912719037294
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6285546705474143
timing__setup__ws__corner:nom_slow_1p08V_125C,5.059806050693451
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.628555
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,8.248379
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,37
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.27030023429037153
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27302566535945305
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2997679966879826
timing__setup__ws__corner:nom_typ_1p20V_25C,5.309034251380479
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.299768
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,8.812310
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,37
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2631146486271703
clock__skew__worst_setup,0.26934880088693497
timing__hold__ws,0.11300727340430693
timing__setup__ws,5.059806050693451
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113007
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.248379
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,3511
design__instance__area__stdcell,59519.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.469823
design__instance__utilization__stdcell,0.469823
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,7
design__instance__area__class:buffer,50.8032
design__instance__count__class:inverter,259
design__instance__area__class:inverter,1409.79
design__instance__count__class:sequential_cell,525
design__instance__area__class:sequential_cell,25719.1
design__instance__count__class:multi_input_combinational_cell,1526
design__instance__area__class:multi_input_combinational_cell,15407.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,9915.92
design__instance__displacement__mean,2.824
design__instance__displacement__max,17.76
route__wirelength__estimated,94829.9
design__violations,0
design__instance__count__class:timing_repair_buffer,1118
design__instance__area__class:timing_repair_buffer,15534.9
design__instance__count__class:clock_buffer,51
design__instance__area__class:clock_buffer,1202.95
design__instance__count__class:clock_inverter,25
design__instance__area__class:clock_inverter,194.141
flow__warnings__count:CTS-0041,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,818
global_route__vias,23155
global_route__wirelength,161697
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3503
route__net__special,2
route__drc_errors__iter:0,1120
route__wirelength__iter:0,105551
route__drc_errors__iter:1,399
route__wirelength__iter:1,105007
route__drc_errors__iter:2,432
route__wirelength__iter:2,104769
route__drc_errors__iter:3,35
route__wirelength__iter:3,104643
route__drc_errors__iter:4,0
route__wirelength__iter:4,104648
route__drc_errors,0
route__wirelength,104648
route__vias,21652
route__vias__singlecut,21652
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,528.685
design__instance__count__class:fill_cell,6483
design__instance__area__class:fill_cell,67165.5
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,31
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,31
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,31
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,31
