Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,93
design__inferred_latch__count,0
design__instance__count,11168
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,34
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0035755254793912172
power__switching__total,0.0019875129219144583
power__leakage__total,0.000004259603883838281
power__total,0.005567297805100679
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26241831672643184
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26255184880449517
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11069734331394254
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.149771421726111
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.110697
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,34
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2701733635506443
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2702927125291669
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6184927189906652
timing__setup__ws__corner:nom_slow_1p08V_125C,9.373392993759769
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.618493
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,34
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26546324223546075
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26558916928559034
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29399222777247397
timing__setup__ws__corner:nom_typ_1p20V_25C,11.781242981308617
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.293992
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,34
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26241831672643184
clock__skew__worst_setup,0.26255184880449517
timing__hold__ws,0.11069734331394254
timing__setup__ws,9.373392993759769
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110697
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,4465
design__instance__area__stdcell,66969.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.52863
design__instance__utilization__stdcell,0.52863
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,121
design__instance__area__class:inverter,658.627
design__instance__count__class:sequential_cell,471
design__instance__area__class:sequential_cell,23073.7
design__instance__count__class:multi_input_combinational_cell,2846
design__instance__area__class:multi_input_combinational_cell,29306.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,4311.44
design__instance__displacement__mean,0.965
design__instance__displacement__max,16.74
route__wirelength__estimated,110363
design__violations,0
design__instance__count__class:timing_repair_buffer,957
design__instance__area__class:timing_repair_buffer,12570.2
design__instance__count__class:clock_buffer,51
design__instance__area__class:clock_buffer,1202.95
design__instance__count__class:clock_inverter,18
design__instance__area__class:clock_inverter,150.595
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,620
global_route__vias,27053
global_route__wirelength,187668
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,4459
route__net__special,2
route__drc_errors__iter:0,1068
route__wirelength__iter:0,125246
route__drc_errors__iter:1,376
route__wirelength__iter:1,124363
route__drc_errors__iter:2,337
route__wirelength__iter:2,124252
route__drc_errors__iter:3,0
route__wirelength__iter:3,124227
route__drc_errors,0
route__wirelength,124227
route__vias,26470
route__vias__singlecut,26470
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,516.525
design__instance__count__class:fill_cell,6703
design__instance__area__class:fill_cell,59715.5
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,30
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,30
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,30
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,30
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19938
