Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,111
design__inferred_latch__count,0
design__instance__count,1982
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0006424498278647661
power__switching__total,0.0001185014407383278
power__leakage__total,7.021747592261818E-7
power__total,0.0007616534130647779
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2679613551338213
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26278752140371275
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12332585302045619
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.08686185350185
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.123326
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.852842
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.28677591668619734
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.27968159135820136
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6417883073306141
timing__setup__ws__corner:nom_slow_1p08V_125C,11.727608549561301
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.641788
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.558070
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.274579478037512
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2692484922338232
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3085599640909455
timing__setup__ws__corner:nom_typ_1p20V_25C,13.232579850850414
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.308560
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,15.266953
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2679613551338213
clock__skew__worst_setup,0.26278752140371275
timing__hold__ws,0.12332585302045619
timing__setup__ws,11.727608549561301
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.123326
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.558070
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1273
design__instance__area__stdcell,22741.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.785781
design__instance__utilization__stdcell,0.785781
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,5
design__instance__area__class:buffer,36.288
design__instance__count__class:inverter,39
design__instance__area__class:inverter,221.357
design__instance__count__class:sequential_cell,173
design__instance__area__class:sequential_cell,8580.3
design__instance__count__class:multi_input_combinational_cell,617
design__instance__area__class:multi_input_combinational_cell,6325
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,370
design__instance__area__class:timing_repair_buffer,6310.48
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,62173
design__violations,0
design__instance__count__class:clock_buffer,51
design__instance__area__class:clock_buffer,1170.29
design__instance__count__class:clock_inverter,13
design__instance__area__class:clock_inverter,70.7616
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,301
global_route__vias,10859
global_route__wirelength,98191
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,5
design__instance__count__class:antenna_cell,5
design__instance__area__class:antenna_cell,27.216
route__net,1272
route__net__special,2
route__drc_errors__iter:0,725
route__wirelength__iter:0,74547
route__drc_errors__iter:1,374
route__wirelength__iter:1,73760
route__drc_errors__iter:2,310
route__wirelength__iter:2,73779
route__drc_errors__iter:3,50
route__wirelength__iter:3,73768
route__drc_errors__iter:4,12
route__wirelength__iter:4,73685
route__drc_errors__iter:5,0
route__wirelength__iter:5,73676
route__drc_errors,0
route__wirelength,73676
route__vias,9939
route__vias__singlecut,9939
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,461
design__instance__count__class:fill_cell,709
design__instance__area__class:fill_cell,6199.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,28
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,28
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,28
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,28
timing__unannotated_net_filtered__count,0
