Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,5802
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.000613215786870569
power__switching__total,0.0007712689111940563
power__leakage__total,0.0000024574189865234075
power__total,0.00138694210909307
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2793605981171283
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2758848227956327
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1188100207400769
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.354337680337695
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.118810
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.625740
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.27663960794027087
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.27181602182876163
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6334319914548352
timing__setup__ws__corner:nom_slow_1p08V_125C,10.147286853549033
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.633432
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,10.147286
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2762742335325333
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2723491509402646
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30044562133022706
timing__setup__ws__corner:nom_typ_1p20V_25C,13.638036863624308
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.300446
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,13.714358
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2762742335325333
clock__skew__worst_setup,0.27181602182876163
timing__hold__ws,0.1188100207400769
timing__setup__ws,10.147286853549033
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118810
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.147286
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,1937
design__instance__area__stdcell,22504
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.374385
design__instance__utilization__stdcell,0.374385
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,47
design__instance__area__class:inverter,255.83
design__instance__count__class:sequential_cell,92
design__instance__area__class:sequential_cell,4506.97
design__instance__count__class:multi_input_combinational_cell,1454
design__instance__area__class:multi_input_combinational_cell,13940
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,1029.26
design__instance__displacement__mean,0.531
design__instance__displacement__max,12.48
route__wirelength__estimated,59872.6
design__violations,0
design__instance__count__class:timing_repair_buffer,321
design__instance__area__class:timing_repair_buffer,3363.9
design__instance__count__class:clock_buffer,17
design__instance__area__class:clock_buffer,400.982
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,21.7728
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,114
global_route__vias,13595
global_route__wirelength,105796
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1952
route__net__special,2
route__drc_errors__iter:0,1158
route__wirelength__iter:0,74683
route__drc_errors__iter:1,910
route__wirelength__iter:1,74284
route__drc_errors__iter:2,732
route__wirelength__iter:2,74027
route__drc_errors__iter:3,42
route__wirelength__iter:3,73788
route__drc_errors__iter:4,0
route__wirelength__iter:4,73772
route__drc_errors,0
route__wirelength,73772
route__vias,14164
route__vias__singlecut,14164
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,548.42
design__instance__count__class:fill_cell,3865
design__instance__area__class:fill_cell,37605.3
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,16
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,16
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,16
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,16
timing__unannotated_net_filtered__count,0
