Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,122
design__inferred_latch__count,0
design__instance__count,5654
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,20
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0015962650068104267
power__switching__total,0.0012052806559950113
power__leakage__total,9.639570635044947E-7
power__total,0.002802509581670165
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.27420452795591616
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2742156856976292
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1325133928982806
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.399167266094599
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.132513
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,12.048355
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,20
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2880785413978308
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.29042832849590644
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6776304709155421
timing__setup__ws__corner:nom_slow_1p08V_125C,1.3758345963045782
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.677630
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,1.375835
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,20
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2802014533041848
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2810968759544449
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3361148676741793
timing__setup__ws__corner:nom_typ_1p20V_25C,8.107647227512127
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.336115
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,8.107647
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,20
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27420452795591616
clock__skew__worst_setup,0.2742156856976292
timing__hold__ws,0.1325133928982806
timing__setup__ws,1.3758345963045782
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.132513
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.375835
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,4117
design__instance__area__stdcell,52777.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.878022
design__instance__utilization__stdcell,0.878022
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:inverter,165
design__instance__area__class:inverter,898.128
design__instance__count__class:sequential_cell,284
design__instance__area__class:sequential_cell,13912.8
design__instance__count__class:multi_input_combinational_cell,2972
design__instance__area__class:multi_input_combinational_cell,29028.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:STA-0101,8
flow__warnings__count:STA-0472,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:STA-0122,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,31335
design__instance__displacement__mean,7.612
design__instance__displacement__max,176.16
route__wirelength__estimated,143852
design__violations,0
design__instance__count__class:timing_repair_buffer,653
design__instance__area__class:timing_repair_buffer,8086.78
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,754.79
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,90.72
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,369
global_route__vias,11
global_route__wirelength,251712
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
route__net,4119
route__net__special,2
route__drc_errors__iter:0,40
route__wirelength__iter:0,171816
route__drc_errors__iter:1,0
route__wirelength__iter:1,171788
route__drc_errors__iter:2,2199
route__wirelength__iter:2,172407
route__drc_errors__iter:3,349
route__wirelength__iter:3,171790
route__drc_errors__iter:4,52
route__wirelength__iter:4,171773
route__drc_errors__iter:5,6
route__wirelength__iter:5,171763
route__drc_errors__iter:6,0
route__wirelength__iter:6,171762
route__drc_errors,0
route__wirelength,171788
route__vias,32123
route__vias__singlecut,32123
route__vias__multicut,0
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,5.4432
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,699.515
design__instance__count__class:fill_cell,1537
design__instance__area__class:fill_cell,7331.99
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,31
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,31
