Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2697
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0004937511403113604
power__switching__total,0.00008876336505636573
power__leakage__total,7.640737749170512E-7
power__total,0.0005832785973325372
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3001360356310547
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3001360356310547
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12195994559462936
timing__setup__ws__corner:nom_fast_1p32V_m40C,12.710409084999677
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.121960
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.30237382897835385
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.30237382897835385
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6705090561449791
timing__setup__ws__corner:nom_slow_1p08V_125C,8.488827658853769
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.670509
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.339650
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2981082687303789
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2981082687303789
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3254440142823535
timing__setup__ws__corner:nom_typ_1p20V_25C,11.155265471541153
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.325444
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2981082687303789
clock__skew__worst_setup,0.2981082687303789
timing__hold__ws,0.12195994559462936
timing__setup__ws,8.488827658853769
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121960
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.339650
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1471
design__instance__area__stdcell,19439.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.671682
design__instance__utilization__stdcell,0.671682
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,9
design__instance__area__class:buffer,65.3184
design__instance__count__class:inverter,73
design__instance__area__class:inverter,397.354
design__instance__count__class:sequential_cell,116
design__instance__area__class:sequential_cell,5682.7
design__instance__count__class:multi_input_combinational_cell,958
design__instance__area__class:multi_input_combinational_cell,8669.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,6165.44
design__instance__displacement__mean,4.191
design__instance__displacement__max,120.9
route__wirelength__estimated,35360.5
design__violations,0
design__instance__count__class:timing_repair_buffer,254
design__instance__area__class:timing_repair_buffer,3403.81
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1155.77
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,65.3184
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,172
global_route__vias,9329
global_route__wirelength,60055
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1478
route__net__special,2
route__drc_errors__iter:0,395
route__wirelength__iter:0,38648
route__drc_errors__iter:1,154
route__wirelength__iter:1,38473
route__drc_errors__iter:2,119
route__wirelength__iter:2,38516
route__drc_errors__iter:3,8
route__wirelength__iter:3,38442
route__drc_errors__iter:4,0
route__wirelength__iter:4,38441
route__drc_errors,0
route__wirelength,38441
route__vias,9008
route__vias__singlecut,9008
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,366.5
design__instance__count__class:fill_cell,1226
design__instance__area__class:fill_cell,9502.01
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
