Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,20
design__inferred_latch__count,0
design__instance__count,21811
design__instance__area,259837
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.002486914861947298
power__switching__total,0.0005176975391805172
power__leakage__total,0.000004868851647188421
power__total,0.003009481355547905
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.4773708230494297
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.28615186030640605
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11311085721543401
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.742175564234786
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.113111
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.519407
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.7633026649017081
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.31651035466186545
timing__hold__ws__corner:nom_slow_1p08V_125C,0.5958687045773053
timing__setup__ws__corner:nom_slow_1p08V_125C,11.684315179447017
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.595869
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,16.637152
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.5849719763047314
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.29623751512540136
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2911501122602043
timing__setup__ws__corner:nom_typ_1p20V_25C,11.725906799661027
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.291150
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.916639
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.4773708230494297
clock__skew__worst_setup,0.28615186030640605
timing__hold__ws,0.11311085721543401
timing__setup__ws,11.684315179447017
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113111
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.637152
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 854.4 313.74
design__core__bbox,2.88 3.78 851.52 309.96
design__io,45
design__die__area,268059
design__core__area,259837
design__instance__count__stdcell,13983
design__instance__area__stdcell,218867
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.842327
design__instance__utilization__stdcell,0.842327
design__rows,81
design__rows:CoreSite,81
design__sites,143208
design__sites:CoreSite,143208
design__instance__count__class:buffer,11
design__instance__area__class:buffer,79.8336
design__instance__count__class:inverter,437
design__instance__area__class:inverter,2805.06
design__instance__count__class:sequential_cell,1419
design__instance__area__class:sequential_cell,70378.8
design__instance__count__class:multi_input_combinational_cell,9134
design__instance__area__class:multi_input_combinational_cell,91320.6
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,2743
design__instance__area__class:timing_repair_buffer,48669.5
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,397754
design__violations,0
design__instance__count__class:clock_buffer,237
design__instance__area__class:clock_buffer,5590.17
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,23.5872
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1793
global_route__vias,96736
global_route__wirelength,631033
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,0
route__net,13987
route__net__special,2
route__drc_errors__iter:0,4488
route__wirelength__iter:0,438046
route__drc_errors__iter:1,1762
route__wirelength__iter:1,434940
route__drc_errors__iter:2,1593
route__wirelength__iter:2,434429
route__drc_errors__iter:3,100
route__wirelength__iter:3,433981
route__drc_errors__iter:4,3
route__wirelength__iter:4,433950
route__drc_errors__iter:5,0
route__wirelength__iter:5,433948
route__drc_errors,0
route__wirelength,433948
route__vias,88072
route__vias__singlecut,88072
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,827.11
design__instance__count__class:fill_cell,7828
design__instance__area__class:fill_cell,40969.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
