Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,39640
design__instance__area,443784
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,167
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.011444496922194958
power__switching__total,0.00735638290643692
power__leakage__total,0.000012576490007631946
power__total,0.01881345734000206
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2866424401192868
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.28615313706292045
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12554524442060178
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.050677907749124
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.125545
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,167
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2951154681938303
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.29625444602700574
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6813667600771338
timing__setup__ws__corner:nom_slow_1p08V_125C,3.356954809147661
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.681367
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,6.119914
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,167
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.28474937103088316
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.28411654388894925
timing__hold__ws__corner:nom_typ_1p20V_25C,0.33028236636050784
timing__setup__ws__corner:nom_typ_1p20V_25C,8.027341685245325
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.330282
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,11.269711
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,167
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.28474937103088316
clock__skew__worst_setup,0.28411654388894925
timing__hold__ws,0.12554524442060178
timing__setup__ws,3.356954809147661
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.125545
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.119914
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 636.96 710.64
design__core__bbox,2.88 3.78 634.08 706.86
design__io,45
design__die__area,452649
design__core__area,443784
design__instance__count__stdcell,18780
design__instance__area__stdcell,274640
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.61886
design__instance__utilization__stdcell,0.61886
design__rows,186
design__rows:CoreSite,186
design__sites,244590
design__sites:CoreSite,244590
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,80
design__instance__area__class:inverter,435.456
design__instance__count__class:sequential_cell,2100
design__instance__area__class:sequential_cell,102876
design__instance__count__class:multi_input_combinational_cell,11846
design__instance__area__class:multi_input_combinational_cell,114360
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,19836.6
design__instance__displacement__mean,1.058
design__instance__displacement__max,11.94
route__wirelength__estimated,670006
design__violations,0
design__instance__count__class:timing_repair_buffer,4394
design__instance__area__class:timing_repair_buffer,50723.4
design__instance__count__class:clock_buffer,230
design__instance__area__class:clock_buffer,5425.06
design__instance__count__class:clock_inverter,87
design__instance__area__class:clock_inverter,582.422
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2076
global_route__vias,227
global_route__wirelength,1090368
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,21
design__instance__count__class:antenna_cell,41
design__instance__area__class:antenna_cell,223.171
route__net,18655
route__net__special,2
route__drc_errors__iter:0,617
route__wirelength__iter:0,798248
route__drc_errors__iter:1,92
route__wirelength__iter:1,798048
route__drc_errors__iter:2,50
route__wirelength__iter:2,798032
route__drc_errors__iter:3,0
route__wirelength__iter:3,797999
route__drc_errors__iter:4,21
route__wirelength__iter:4,798065
route__drc_errors__iter:5,0
route__wirelength__iter:5,798065
route__drc_errors,0
route__wirelength,797999
route__vias,128977
route__vias__singlecut,128977
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,1889.8
design__instance__count__class:fill_cell,20860
design__instance__area__class:fill_cell,169144
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,106
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,106
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,106
