Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,22
design__inferred_latch__count,0
design__instance__count,10686
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,33
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001598391798324883
power__switching__total,0.0003505749918986112
power__leakage__total,0.00000462151274405187
power__total,0.001953588332980871
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2722872837604676
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.27282937792314793
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.0966450558048068
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.533429981951103
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.096645
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.782291
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,33
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2881200637401261
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2881964470863806
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6136964998774869
timing__setup__ws__corner:nom_slow_1p08V_125C,12.516479762465556
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.613697
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.516479
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,33
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2775448838201532
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27762445905769373
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2808517387036747
timing__setup__ws__corner:nom_typ_1p20V_25C,13.855125439107097
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.280852
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,15.229484
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,33
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2722872837604676
clock__skew__worst_setup,0.27282937792314793
timing__hold__ws,0.0966450558048068
timing__setup__ws,12.516479762465556
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.096645
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.516479
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,3856
design__instance__area__stdcell,60664.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.478861
design__instance__utilization__stdcell,0.478861
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,8
design__instance__area__class:buffer,58.0608
design__instance__count__class:inverter,167
design__instance__area__class:inverter,909.014
design__instance__count__class:sequential_cell,470
design__instance__area__class:sequential_cell,23024.7
design__instance__count__class:multi_input_combinational_cell,2170
design__instance__area__class:multi_input_combinational_cell,22057.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,5877.27
design__instance__displacement__mean,1.524
design__instance__displacement__max,19.5
route__wirelength__estimated,93791.2
design__violations,0
design__instance__count__class:timing_repair_buffer,968
design__instance__area__class:timing_repair_buffer,13230.6
design__instance__count__class:clock_buffer,52
design__instance__area__class:clock_buffer,1226.53
design__instance__count__class:clock_inverter,21
design__instance__area__class:clock_inverter,157.853
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,684
global_route__vias,25390
global_route__wirelength,164282
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3845
route__net__special,2
route__drc_errors__iter:0,1066
route__wirelength__iter:0,106093
route__drc_errors__iter:1,456
route__wirelength__iter:1,105228
route__drc_errors__iter:2,395
route__wirelength__iter:2,105058
route__drc_errors__iter:3,9
route__wirelength__iter:3,104925
route__drc_errors__iter:4,0
route__wirelength__iter:4,104927
route__drc_errors,0
route__wirelength,104927
route__vias,23947
route__vias__singlecut,23947
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,568.925
design__instance__count__class:fill_cell,6830
design__instance__area__class:fill_cell,66020.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,43
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,43
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,43
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,43
timing__unannotated_net_filtered__count,0
