Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,11937
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,47
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001982406247407198
power__switching__total,0.0003290981403551996
power__leakage__total,0.0000034729125673038652
power__total,0.0023149773478507996
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2700984790055155
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.27176089925403
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11577478192721177
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.343392213272962
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.115775
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,13.655311
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,47
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2798927002723044
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.28611389067789
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6271712771084551
timing__setup__ws__corner:nom_slow_1p08V_125C,4.133984827025582
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.627171
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,4.848024
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,47
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.273526098401956
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27726341451987463
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2988260834472515
timing__setup__ws__corner:nom_typ_1p20V_25C,8.43566129714687
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.298826
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,10.370731
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,47
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2700984790055155
clock__skew__worst_setup,0.27176089925403
timing__hold__ws,0.11577478192721177
timing__setup__ws,4.133984827025582
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115775
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.848024
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,5473
design__instance__area__stdcell,79095.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.624345
design__instance__utilization__stdcell,0.624345
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,3
design__instance__area__class:buffer,21.7728
design__instance__count__class:inverter,132
design__instance__area__class:inverter,718.502
design__instance__count__class:sequential_cell,625
design__instance__area__class:sequential_cell,30618
design__instance__count__class:multi_input_combinational_cell,3449
design__instance__area__class:multi_input_combinational_cell,30558.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,4910.79
design__instance__displacement__mean,0.897
design__instance__displacement__max,11.4
route__wirelength__estimated,146729
design__violations,0
design__instance__count__class:timing_repair_buffer,1174
design__instance__area__class:timing_repair_buffer,15524
design__instance__count__class:clock_buffer,63
design__instance__area__class:clock_buffer,1485.99
design__instance__count__class:clock_inverter,27
design__instance__area__class:clock_inverter,168.739
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,772
global_route__vias,32654
global_route__wirelength,244108
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,5458
route__net__special,2
route__drc_errors__iter:0,1542
route__wirelength__iter:0,168244
route__drc_errors__iter:1,577
route__wirelength__iter:1,167568
route__drc_errors__iter:2,505
route__wirelength__iter:2,167261
route__drc_errors__iter:3,13
route__wirelength__iter:3,167058
route__drc_errors__iter:4,0
route__wirelength__iter:4,167064
route__drc_errors,0
route__wirelength,167064
route__vias,32243
route__vias__singlecut,32243
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,776.49
design__instance__count__class:fill_cell,6464
design__instance__area__class:fill_cell,47589.9
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,47
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,47
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,47
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,47
timing__unannotated_net_filtered__count,0
